question,option_a,option_b,option_c,option_d,option_e,correct_answer
МУЛЬТИДИСЦИПЛИНАРНАЯ ЭКСПЕРТИЗА КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ЭТО,общая оценка патологического состояния организма и качества оказываемой медицинской помощи,"экспертиза медицинской помощи, затрагивающая несколько сопутствующих патологий","экспертиза качества медицинской помощи, которая проводится несколькими экспертами качества",медицинской помощи разных специальностей и (или) на разных этапах оказания медицинской помощи,"экспертиза медицинской помощи, оказываемая разным медицинскими специалистами у одного пациента","экспертиза качества медицинской помощи, которая проводится несколькими экспертами качества медицинской"
РЕАБИЛИТАЦИЯ - ЭТО,"комплекс мероприятий, направленных на восстановление функциональных возможностей человека и",снижение уровня инвалидности у лиц с нарушениями здоровья с учетом условий их проживания,"мероприятия, направленные на восстановление организма вследствие неблагоприятных воздействий","комплекс мер, направленных на оздоровление","механизмы адаптации к окружающей среде, вследствие перенесенных патологических состояний","комплекс мероприятий, направленных на восстановление функциональных возможностей человека и снижение"
"ДОСТУПНОСТЬ И КАЧЕСТВО МЕДИЦИНСКОЙ ПОМОЩИ, В СООТВЕТСТВИИ С ФЗ № 323 ОБЕСПЕЧИВАЮТСЯ",приоритетом безвозмездности оказания медицинской помощи,оптимальным использованием ресурсов здравоохранения,лицензированием медицинской деятельности,применением порядков оказания медицинской помощи и стандартов медицинской помощи,нет правильного ответа,применением порядков оказания медицинской помощи и стандартов медицинской помощ
ДЕЛОПРОИЗВОДСТВО ПО ОБРАЩЕНИЯМ ГРАЖДАН ВЕДЕТСЯ,в общем делопроизводстве,юридической службой,по решению профсоюзного комитета,по решению руководителя службы ДОУ,отдельно от общего делопроизводства,отдельно от общего делопроизводства
ЗАКОНОДАТЕЛЬСТВО РФ В СФЕРЕ ОХРАНЫ ЗДОРОВЬЯ ОСНОВЫВАЕТСЯ НА ПОЛОЖЕНИЯХ,Стратегии развития здравоохранения РФ,Трудового кодекса РФ,Конституции РФ,Гражданского кодекса РФ,Постановлений Правительства РФ,Конституции РФ
"УКАЖИТЕ КОНТРОЛЬНЫЕ (НАДЗОРНЫЕ) МЕРОПРИЯТИЯ, КОТОРЫЕ ПРОВОДЯТСЯ БЕЗ ВЗАИМОДЕЙСТВИЯ С КОНТРОЛИРУЕМЫМ ЛИЦОМ",все ответы правильные,"выездное обследование, мониторинг безопасности",инспекционный визит,мониторинг безопасности,документарная проверка,"выездное обследование, мониторинг безопасности"
"УКАЖИТЕ, В КАКИХ ИЗ ПЕРЕЧИСЛЕННЫХ СЛУЧАЕВ ПРИ ПРОВЕДЕНИИ КОНТРОЛЬНЫХ (НАДЗОРНЫХ) МЕРОПРИЯТИЙ НЕ ТРЕБУЕТСЯ СОГЛАСОВАНИЕ С ОРГАНОМ ПРОКУРАТУРЫ","инспекционное обследование, документарная проверка","выездная проверка, документная проверка",инспекционный визит,документарная проверка,выездная проверкаВаш ответ неправильный.,"инспекционное обследование, документарная проверка"
ФИКСАЦИЯ НАРУШЕНИЙ ОБЯЗАТЕЛЬНЫХ ТРЕБОВАНИЙ ПРИ ПОМОЩИ ФОТОСЪЕМКИ ПРОВОДИТСЯ,не менее чем пятью снимком каждого из выявленных нарушений обязательных требований,не менее чем двумя снимками каждого из выявленных нарушений обязательных требований ,не менее чем одним снимком каждого из выявленных нарушений обязательных требований,не менее чем тремя снимками каждого из выявленных нарушений обязательных требований,нет правильного ответа,не менее чем двумя снимками каждого из выявленных нарушений обязательных требований7.
СРОК ПРОВЕДЕНИЯ ДОКУМЕНТАРНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 рабочих дней,20 рабочих дней,10 рабочих дней,3 рабочих дня,25 рабочих днейВаш ответ неправильный.,10 рабочих дней
"ПРЕДОСТАВЛЕНИЕ СВЕДЕНИЙ, СОСТАВЛЯЮЩИХ ВРАЧЕБНУЮ ТАЙНУ, БЕЗ СОГЛАСИЯ ГРАЖДАНИНА ДОПУСКАЕТСЯ ВЦЕЛЯХ",совершенствования статистического учета медицинской организации,повышения качества лечения,снижения непрямых медицинских расходов на лечение,обучения студентов,предотвращения массовых отравлений и поражений,предотвращения массовых отравлений и поражений
"ДЕЙСТВИЯ МЕДИЦИНСКИХ РАБОТНИКОВ, УЩЕМЛЯЮЩИХ ПРАВА ГРАЖДАН ПРИ ОКАЗАНИИ ИМ ПСИХИАТРИЧЕСКОЙ ПОМОЩИ МОГУТ БЫТЬ ОБЖАЛОВАНЫ",в министерстве здравоохранения и социального развития,в вышестоящем органе управления здравоохранения,в российской медицинской ассоциации,в суде ,в органе опеки и попечительства,в суде
"ГРАЖДАНЕ МОГУТ ОБЖАЛОВАТЬ ДЕЙСТВИЯ ЛИЦ, УЩЕМЛЯЮЩИХ ИХ ПРАВА И СВОБОДЫ В ОБЛАСТИ ОХРАНЫ",ЗДОРОВЬЯ,в Российской медицинской ассоциации,в суде,в вышестоящих государственных органах,вышестоящим должностным лицам,все перечисленное
"В СООТВЕТСТВИИ С ФЗ РФ «ОБ ОСНОВАХ ОХРАНЫ ЗДОРОВЬЯ ГРАЖДАН В РОССИЙСКОЙ ФЕДЕРАЦИИ», К ОСНОВНЫМ ПРИНЦИПАМ ОХРАНЫ ЗДОРОВЬЯ НЕ ОТНОСЯТ","приоритет интересов пациента при оказании медицинской помощи, приоритет охраны здоровья детей",лицензирование отдельных видов деятельности в сфере охраны здоровья,"доступность и качество медицинской помощи, соблюдение врачебной тайны",нет правильного ответа,соблюдение прав граждан в сфере охраны здоровья и обеспечение связанных с этими правами,лицензирование отдельных видов деятельности в сфере охраны здоровья
"ОБРАЩЕНИЕ ГРАЖДАНИНА О НАРУШЕНИИ ЕГО ПРАВ, СВОБОД И ЗАКОННЫХ ИНТЕРЕСОВ НАЗЫВАЮТ",предложением,петицией,заявлением,жалобой,ходатайством,жалобой
НЕ ДАЕТ ПРАВО БЫТЬ ДОПУЩЕННЫМ К ЗАНЯТИЯМ МЕДИЦИНСКОЙ И ФАРМАЦЕВТИЧЕСКОЙ ДЕЯТЕЛЬНОСТЬЮ,диплом об окончании высшего или среднего медицинского (фармацевтического) учебного заведения,свидетельство об окончании курсов,лицензия,сертификат,удостоверение,свидетельство об окончании курсов
ЛИЦЕНЗИРОВАНИЕ УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ПРЕДСТАВЛЯЕТ СОБОЙ,выдача разрешения на проведение медицинских осмотров,определение соответствия качества медицинской помощи установленным стандартам,процедуру предоставления учреждению статуса юридического лица,все ответы верны,выдачу государственного разрешения на осуществление определенных видов деятельности,выдачу государственного разрешения на осуществление определенных видов деятельности7.
В РОССИЙСКОЙ ФЕДЕРАЦИИ В ОБЛАСТИ ОХРАНЫ ЗДОРОВЬЯ ДЕЙСТВУЮТ,обычаи делового оборота,судебные прецеденты,международные принципы и нормы,правовые обычаи,все ответы верны,международные принципы и нормы
"В СООТВЕТСТВИИ С ФЗ РФ ОТ 12.04.2010Г. № 61 «ОБ ОБРАЩЕНИИ ЛЕКАРСТВЕННЫХ СРЕДСТВ» ХАРАКТЕРИСТИКА ЛЕКАРСТВЕННОГО СРЕДСТВА, ОСНОВАННАЯ НА СРАВНИТЕЛЬНОМ АНАЛИЗЕ ЕГО ЭФФЕКТИВНОСТИ И РИСКА ПРИЧИНЕНИЯ ВРЕДА ЗДОРОВЬЮ – ЭТО",эффективность лекарственного препарата,качество лекарственного средства,регистрационный номер,безопасность лекарственного средства,серия лекарственного средства,безопасность лекарственного средства7.
"УКАЖИТЕ, КАКИЕ ИЗ ПЕРЕЧИСЛЕННЫХ ДЕЙСТВИЙ РАСЦЕНИВАЮТСЯ КАК НЕПОСРЕДСТВЕННОЕ ВЗАИМОДЕЙСТВИЕ МЕЖДУ ИНСПЕКТОРОМ И КОНТРОЛИРУЕМЫМ ЛИЦОМ ИЛИ ЕГО ПРЕДСТАВИТЕЛЕМ",присутствие инспектора в месте осуществления деятельности контролируемого лица (за исключением случаев,присутствия инспектора на общедоступных производственных объектах),встреча,запрос документов,присутствие инспектора в месте осуществления деятельности контролируемого лица (за исключением случаев,"встреча, телефонный разговор, переговоры посредством видеосвязи"
ОБЪЕМ ПЛАНОВОЙ ЭКСПЕРТИЗЫ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ В СТАЦИОНАРЕ,не менее 15% законченных случаев,не менее 10% законченных случаев,не менее 5% законченных случаев,не менее 20% законченных случаев,все законченные случаиВаш ответ неправильный.,не менее 5% законченных случаев
КОНТРОЛЬ В СФЕРЕ ОХРАНЫ ЗДОРОВЬЯ ВКЛЮЧАЕТ В СЕБЯ ФОРМЫ,государственный контроль,"контроль качества и безопасности медицинской деятельности, государственный контроль, федеральный",государственный санитарно-эпидемиологический надзор,федеральный государственный санитарно-эпидемиологический надзор,муниципальный контроль,"контроль качества и безопасности медицинской деятельности, государственный контроль, федеральный"
"ЗАКЛЮЧЕНИЕ УЧРЕЖДЕНИЯ, ПРОИЗВОДИВШЕГО МЕДИКО-СОЦИАЛЬНУЮ ЭКСПЕРТИЗУ, МОЖЕТ БЫТЬ ОБЖАЛОВАНО В",вышестоящем медицинском учреждении,суде,прокуратуре,нет правильного ответа,арбитражном суде,суде
НЕОКАЗАНИЕ МЕДРАБОТНИКОМ ПОМОЩИ БОЛЬНОМУ,дисциплинарный проступок,гражданская ответственность,административный проступок,медработник не будет нести никакой ответственности,уголовная ответственность,уголовная ответственность
СРОК ПРОВЕДЕНИЯ ВЫЕЗДНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 рабочих дней,20 рабочих дней,5 рабочих дней,10 рабочих дней,30 рабочих днейВаш ответ неправильный.,10 рабочих дней
МЕДИКО-ЭКОНОМИЧЕСКИЙ СТАНДАРТ - ЭТО,стандарты ведения документации,достигнутый эффект лечения,"группа заболеваний, при которых технология обследования и лечения пациентов приблизительно одинакова","перечень мероприятий по оказанию медицинской помощи, разработанный с учетом тарифов на мед.услуги","стандарт лечения, разработанный для оценки качества медицинской помощи","перечень мероприятий по оказанию медицинской помощи, разработанный с учетом тарифов на мед. услуги7."
В ОТНОШЕНИИ МИКРОПРЕДПРИЯТИЯ ОБЩИЙ СРОК ВЗАИМОДЕЙСТВИЯ В ХОДЕ ПРОВЕДЕНИЯ ВЫЕЗДНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 часов,50 часов,20 часов,40 часов,24 часа,15 часов
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА В СВОЕЙ ДЕЯТЕЛЬНОСТИ РУКОВОДСТВУЕТСЯ,Конституцией Российской Федерации,Федеральными законами,все перечисленное верно ,Актами Президента РФ и Правительства РФ,Федеральными конституционными законами,все перечисленное верно8.
ОСНОВНЫМ УЧРЕДИТЕЛЬНЫМ ДОКУМЕНТОМ УПРАВЛЕНИЯ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ ЯВЛЯЕТСЯ,Устав ФБУЗ «Центр гигиены и эпидемиологии» в субъекте РФ,Свидетельство о внесении записи в Единый государственный реестр юридических лиц,Положение о Федеральной службе по надзору в сфере защиты прав потребителей и благополучия человека,все перечисленное верно,Положение об Управлении Роспотребнадзора в субъекте РФ ,Положение об Управлении Роспотребнадзора в субъекте РФ
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА НАХОДИТСЯ В ВЕДЕНИИ,Федерального агентства по здравоохранению и социальному развитию,Министерства здравоохранения РФ,Правительства РФ ,нет правильного ответа,Федерального медико-биологического агентства,Правительства РФ8.
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА (РОСПОТРЕБНАДЗОР) ЯВЛЯЕТСЯ,"уполномоченным федеральным органом исполнительной власти, осуществляющим функции по контролюи надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения, защиты прав",потребителей и потребительского рынка,"уполномоченным государственным органом исполнительной власти, осуществляющим функции по контролюи надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения, защиты прав",потребителей и потребительского рынка,нет правильного ответа,"уполномоченным федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в"
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ОСУЩЕСТВЛЯЕТ СВОЮ ДЕЯТЕЛЬНОСТЬ,через законных представителей,непосредственно и через свои территориальные органы во взаимодействии с другими федеральными,"органами исполнительной власти, органами исполнительной власти субъектов РФ, органами местного","самоуправления, общественными объединениями и иными организациями",непосредственно,непосредственно и через свои территориальные органы во взаимодействии с другими федеральными органами
ПРИ ПРОВЕДЕНИИ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО НАДЗОРУ ТЕРРИТОРИАЛЬНЫМИ ОРГАНАМИ ПРОКУРАТУРЫ И РОСПОТРЕБНАДЗОРА С ПРИВЛЕЧЕНИЕМ ЭКСПЕРТОВ ЦГИЭ В ДЕТСКОМ САДУ БЫЛИ ВЫЯВЛЕНЫ ФАКТЫ НАРУШЕНИЯ САНИТАРНОГО ЗАКОНОДАТЕЛЬСТВА. КТО ИЗ ЧЛЕНОВ КОМИССИИ УПОЛНОМОЧЕН СОСТАВИТЬ ПРОТОКОЛ ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ,все перечисленные,сотрудник прокуратуры,специалист Управления Роспотребнадзора по субъекту РФ ,директор детского сада,врач ЦГиЭ,специалист Управления Роспотребнадзора по субъекту РФ8.
"ПРИ ПРОВЕДЕНИИ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО НАДЗОРУ В ГОРОДСКОЙ БОЛЬНИЦЕ NQ2 БЫЛ УСТАНОВЛЕН ФАКТ НАРУШЕНИЯ САНИТАРНЫХ ПРАВИЛ, ВЫРАЗИВШИЙСЯ В НЕСОБЛЮДЕНИИ ПРОТИВОЭПИДЕМИЧЕСКОГО РЕЖИМА В ОПЕРАЦИОННОЙ, ПОДТВЕРЖДЕННЫЙ НЕУДОВЛЕТВОРИТЕЛЬНЫМИ РЕЗУЛЬТАТАМИ МИКРОБИОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ ВОЗДУХА. К КАКОЙ ОТВЕТСТВЕННОСТИ СПЕЦИАЛИСТАМИ УПРАВЛЕНИЙ РОСПОТРЕБНАДЗОРА ПО СУБЪЕКТАМ РФ МОЖЕТ БЫТЬ ПРИВЛЕЧЕНО ДОЛЖНОСТНОЕ ЛИЦО (ГЛАВНЫЙ ВРАЧ)",нет верного ответа,уголовной,все перечисленное верно,административной ,дисциплинарной,административной
КОЛИЧЕСТВО ЗАМЕСТИТЕЛЕЙ РУКОВОДИТЕЛЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА УСТАНАВЛИВАЕТСЯ,Правительством РФ ,Министром здравоохранения,руководителем Управления Роспотребнадзора в субъекте РФ,заместителем руководителя Управления Роспотребнадзора в субъекте РФ,Президентом РФ,Правительством РФ8.
"УКАЖИТЕ ПОКАЗАТЕЛИ, ХАРАКТЕРИЗУЮЩИЕ ДЕЯТЕЛЬНОСТЬ СЛУЖБЫ РОСПОТРЕБНАДЗОРА ПО ОСУЩЕСТВЛЕНИЮ СОЦИАЛЬНО-ГИГИЕНИЧЕСКОГО МОНИТОРИНГА",удельный вес мониторируемых показателей от числа регламентируемых к наблюдению (включенных в ФИФ),"удельный вес мониторируемых показателей от числа регламентируемых к наблюдению (включенных вФИФ); удельный вес населения, охваченного комплексным контролем по факторам окружающей среды","удельный вес населения, охваченного комплексным контролем по факторам окружающей среды; удельныйвес организаций, имеющих свидетельства о государственной регистрации на продукцию","удельный вес населения, охваченного комплексным контролем по факторам окружающей среды","удельный вес организаций, имеющих свидетельства о государственной регистрации на продукцию",удельный вес мониторируемых показателей от числа регламентируемых к наблюдению (включенных в
"ДОЛЖНОСТНЫМИ ЛИЦАМИ УПРАВЛЕНИЯ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ, УПОЛНОМОЧЕННЫМИ ОСУЩЕСТВЛЯТЬ ГОСУДАРСТВЕННЫЙ САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР ЯВЛЯЮТСЯ",начальники отделов и территориальных отделов Управления,старшие специалисты 1 разряда отделов и территориальных отделов Управления,верно все перечисленное ,руководитель Управления Роспотребнадзора в субъекте РФ,заместитель руководителя Управления Роспотребнадзора в субъекте РФ,верно все перечисленное8.
ОСНОВНЫМИ ЗАДАЧАМИ УПРАВЛЕНИЯ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ ЯВЛЯЮТСЯ,организация и осуществление надзора и контроля за исполнением обязательных требований,"законодательства РФ в области обеспечения санитарно-эпидемиологического благополучия населения,",защиты прав потребителей и в области потребительского рынка; предупреждение вредного воздействия,на человека факторов среды обитания,организация и осуществление надзора и контроля за исполнением обязательных требований,организация и осуществление надзора и контроля за исполнением обязательных требований законодательства РФ в
"ВОПРОСЫ САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НОРМИРОВАНИЯ, РАЗРАБОТКИ САНИТАРНЫХ ПРАВИЛ, ИХ УТВЕРЖДЕНИЯ И ВВЕДЕНИЕ В ДЕЙСТВИЕ ИЗЛОЖЕНЫ В СЛЕДУЮЩЕЙ ГЛАВЕ ЗАКОНА «О САНИТАРНО- ЭПИДЕМИОЛОГИЧЕСКОМ БЛАГОПОЛУЧИИ НАСЕЛЕНИЯ» (№52)",санитарно-эпидемиологические требования обеспечения безопасности среды обитания для здоровья,человека,санитарно-противоэпидемические (профилактические) мероприятия,общие положения,государственное регулирование в области обеспечения санитарно-эпидемиологического благополучия,государственное регулирование в области обеспечения санитарно-эпидемиологического благополучия населения
ПЕРЕЧИСЛИТЕ ВИДЫ ДИСЦИПЛИНАРНОЙ ОТВЕТСТВЕННОСТИ,выговор,увольнение,"замечание, выговор, увольнение ",замечание,предупреждение,"замечание, выговор, увольнение8."
УПРАВЛЕНИЕ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ В ПРЕДЕЛАХ СВОЕЙ КОМПЕТЕНЦИИ ОСУЩЕСТВЛЯЕТ СЛЕДУЮЩИЕ ПОЛНОМОЧИЯ,все перечисленное верно ,осуществляет надзор и контроль за исполнением обязательных требований законодательства РФ в области,"обеспечения санитарно-эпидемиологического благополучия населения, защиты прав потребителей и",потребительского рынка,осуществляет прием и учет уведомлений о начале осуществления юридическими лицами и индивидуальными,все перечисленное верно
ЗАМЕСТИТЕЛИ РУКОВОДИТЕЛЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА НАЗНАЧАЮТСЯ И ОСВОБОЖДАЮТСЯ ОТ ДОЛЖНОСТИ,Президентом РФ,Министром здравоохранения РФ,Правительством РФ по представлению руководителя Федеральной службы по надзору в сфере защиты,прав потребителей и благополучия человека,Главными внештатными специалистами,Правительством РФ по представлению руководителя Федеральной службы по надзору в сфере защиты прав
"ПЕРЕЧИСЛИТЕ УСЛОВИЯ, ПРИ КОТОРЫХ ОСУЩЕСТВЛЯЕТСЯ ФЕДЕРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ САНИТАРНО- ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР",за организацией питания населения в дошкольных и других образовательных учреждениях,все перечисленное верно ,за содержанием жилых помещений,нет правильного ответа,"за радиационной безопасностью, в том числе дозами облучения",все перечисленное верно
КРАТНОСТЬ ПРОВЕДЕНИЯ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО КОНТРОЛЮ ДЛЯ ВЫПОЛНЕНИЯ ТРЕБОВАНИЙ ИСПОЛНЕНИЯ ЗАКОНОДАТЕЛЬСТВА В ОБЛАСТИ ОБЕСПЕЧЕНИЯ САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО БЛАГОПОЛУЧИЯ ДЛЯ ПРЕДПРИНИМАТЕЛЕЙ МАЛОГО БИЗНЕСА,без ограничений,не более 1 раза в 2 года,по мере выявления нарушений,не более 1 раза в 3 года ,не более 1 раз в полгода,не более 1 раза в 3 года8.
СРОКИ РАССМОТРЕНИЯ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ ОРГАНОМ РОСПОТРЕБНАДЗОРА,60 дней ,3 дня,15 дней,30 дней,45 днейВаш ответ неправильный.,15 дней
ОСНОВНЫМ УЧРЕДИТЕЛЬНЫМ ДОКУМЕНТОМ ФБУЗ «ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ» В СУБЪЕКТЕ РФ,ЯВЛЯЕТСЯ,Положение о Федеральной службе по надзору в сфере защиты прав потребителей и благополучия человека,Свидетельство о внесении записи в Единый государственный реестр юридических лиц,все перечисленное верно,Положение об Управлении Роспотребнадзора в субъекте РФ,Устав ФБУЗ «Центр гигиены и эпидемиологии» в субъекте РФ8.
ГЛАВНЫМ ГОСУДАРСТВЕННЫМ САНИТАРНЫМ ВРАЧОМ РФ ЯВЛЯЕТСЯ,главный государственный ветеринарный инспектор,главный врач ФБУЗ «Федеральный центр гигиены и эпидемиологии» Роспотребнадзора,руководитель Управления Роспотребнадзора по субъекту РФ,начальник Департамента Министерства здравоохранения и социального развития РФ,руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия,руководитель Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека
ПЕРЕЧИСЛИТЕ ВИД УГОЛОВНОЙ ОТВЕТСТВЕННОСТИ,отбывание наказания в исправительных учреждениях,возмещение материальных и моральных потерь; отбывание наказания в исправительных учреждениях,возмещение материальных и моральных потерь,дисквалификация,запрет деятельности,возмещение материальных и моральных потерь; отбывание наказания в исправительных учреждениях8.
СРОКИ ПРОВЕДЕНИЯ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО КОНТРОЛЮ В ОТНОШЕНИИ ЮРИДИЧЕСКИХ ЛИЦ ИЛИ ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ,в течение 1 месяца,до 20 дней,до 10 дней,до двух месяцев,в зависимости от состояния объектов надзора,до 20 дней
ПРОТОКОЛ ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ НА ДОЛЖНОСТНОЕ ЛИЦО ПРЕДПРИЯТИЯ НЕОБХОДИМО,ОФОРМИТЬ,в день выявления нарушений; не более 2 суток с момента выявления нарушения ,не более 2 суток с момента выявления нарушения,не более 10 суток с момента выявления нарушения,в день выявления нарушений,в день выявления нарушений; не более 2 суток с момента выявления нарушения8.
"ПЕРЕЧИСЛИТЕ УСЛОВИЯ, ПРИ КОТОРЫХ ОСУЩЕСТВЛЯЕТСЯ ФЕДЕРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ САНИТАРНО- КООРДИНАЦИЮ И КОНТРОЛЬ ЗА ДЕЯТЕЛЬНОСТЬЮ ФБУЗ «ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ» В СУБЪЕКТЕ РФ ОСУЩЕСТВЛЯЕТ",Управление Роспотребнадзора в субъекте РФ ,Министерство здравоохранения,Департамент здравоохранения,нет правильного ответа,Межрегиональное управление Федерального медико-биологического агентства,Управление Роспотребнадзора в субъекте РФ
ВНУТРЕННИЙ КОНТРОЛЬ ОСУЩЕСТВЛЯЕТСЯ ОРГАНИЗАЦИЯМИ,федеральной системы здравоохранения,частной системы здравоохранения,муниципальной системы здравоохранения,"государственной, муниципальной, частной систем здравоохранения ",государственной системы здравоохранения,"государственной, муниципальной, частной систем здравоохранения9."
СРОК ПРОВЕДЕНИЯ ПЛАНОВЫХ И ЦЕЛЕВЫХ (ВНЕПЛАНОВЫХ) ПРОВЕРОК В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ УСТАНАВЛИВАЕТСЯ,"заведующим отделения, в соответствии с тематикой проверки",руководителем медицинской организации,нет верного ответа,заместителем руководителя медицинской организации,руководителем медицинской организации или уполномоченным им заместителем руководителя ,руководителем медицинской организации или уполномоченным им заместителем руководителя
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОСУЩЕСТВЛЯЕТСЯ ПОСРЕДСТВОМ,плановых выездных проверок ,внеплановых выездных проверок,все перечисленное,сбором и анализом показателей деятельности подведомственного органа или организации и,предоставляемой ими статистической отчетности,все перечисленное9.
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОРГАНИЗУЕТСЯ И ОСУЩЕСТВЛЯЕТСЯ,государственными внебюджетными фондами,федеральными органами исполнительной власти и органами исполнительной власти субъектов Российской,Федерации,органами исполнительной власти субъектов Российской Федерации,федеральными органами исполнительной власти,государственными внебюджетными фондами и федеральными органами исполнительной власти и органами
КАЧЕСТВО МЕДИЦИНСКОЙ ПОМОЩИ – ЭТО,"совокупность характеристик, отражающих степень достижения запланированного результата","совокупность характеристик, отражающих своевременность оказания медицинской помощи",все перечисленное ,"совокупность характеристик, отражающих своевременность диагностики и лечения реабилитации при",оказании медицинской помощи,все перечисленное
ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ ПО СОБЛЮДЕНИЮ ПРАВ ГРАЖДАН В СФЕРЕ ОХРАНЫ ЗДОРОВЬЯ ГРАЖДАН И ПРЕДОСТАВЛЯЕМЫХ УСЛУГ В РАМКАХ ПРОВЕДЕНИЯ ВЕДОМСТВЕННОГО КОНТРОЛЯ ВКЛЮЧАЕТ,"рассмотрение документов и материалов, характеризующих организацию работы по рассмотрению",обращений граждан,оценку соблюдения требований законодательства РФ к размещению и содержанию информации об,осуществляемой деятельности в сфере охраны здоровья граждан,все перечисленное ,все перечисленное
"ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ ПО СОБЛЮДЕНИЮ ПОРЯДКОВ ПРОВЕДЕНИЯ МЕДИЦИНСКИХ ЭКСПЕРТИЗ, ДИСПАНСЕРИЗАЦИИ, МЕДИЦИНСКИХ ОСМОТРОВ И МЕДИЦИНСКИХ ОСВИДЕТЕЛЬСТВОВАНИЙ В РАМКАХ ПРОВЕДЕНИЯ ВЕДОМСТВЕННОГО КОНТРОЛЯ ВКЛЮЧАЕТ ВСЕ, КРОМЕ","рассмотрение документов и материалов, характеризующих организацию и проведение медицинских",осмотров,"рассмотрение документов и материалов, характеризующих организацию и проведение медицинских",экспертиз,"оценка соблюдений порядков проведения медицинских экспертиз, медицинских освидетельствований,",оценка соблюдения требований законодательства РФ к размещению и содержанию информации об осуществляемой
